amount,merchant_type,location,time_of_day,fraud
318.59,grocery,TX,evening,0
198.11,electronics,FL,evening,0
120.42,travel,TX,morning,0
246.18,electronics,TX,morning,0
195.36,electronics,FL,night,1
24.78,fashion,CA,night,0
267.7,grocery,NY,night,0
93.01,grocery,CA,evening,0
197.68,grocery,NY,morning,0
271.71,electronics,CA,night,0
45.93,travel,TX,evening,0
13.99,fashion,TX,night,0
31.04,grocery,FL,afternoon,0
66.85,electronics,NY,evening,0
204.46,travel,NY,night,0
236.56,fashion,FL,night,1
0.84,fashion,CA,afternoon,0
85.79,grocery,FL,afternoon,0
64.83,grocery,CA,night,0
30.14,travel,FL,night,1
15.32,electronics,NY,morning,0
49.43,travel,NY,night,0
343.57,grocery,CA,night,0
46.85,travel,NY,morning,0
87.77,electronics,NY,morning,0
145.69,fashion,NY,night,0
54.24,fashion,NY,morning,0
428.14,fashion,TX,evening,0
393.84,fashion,FL,afternoon,0
34.81,grocery,FL,evening,0
82.52,grocery,TX,afternoon,0
42.95,electronics,NY,afternoon,0
40.23,electronics,FL,night,1
4.51,electronics,FL,afternoon,0
112.86,electronics,FL,evening,0
83.82,travel,CA,night,0
6.34,electronics,TX,morning,0
39.2,fashion,CA,evening,0
286.66,fashion,CA,night,0
32.86,fashion,TX,afternoon,0
18.78,travel,FL,evening,0
80.67,electronics,CA,afternoon,0
509.28,fashion,FL,night,1
33.26,fashion,CA,night,0
133.82,fashion,FL,morning,0
172.07,fashion,NY,morning,0
32.56,grocery,NY,evening,0
156.33,electronics,NY,morning,0
55.02,electronics,TX,afternoon,0
120.06,travel,NY,afternoon,0
120.46,grocery,CA,morning,0
92.09,travel,FL,morning,0
11.36,fashion,FL,morning,0
216.44,travel,FL,evening,0
46.42,fashion,FL,evening,0
24.77,fashion,CA,afternoon,0
5.0,electronics,FL,evening,0
107.25,electronics,CA,evening,0
135.82,electronics,CA,night,0
2.01,electronics,FL,afternoon,0
86.12,electronics,FL,afternoon,0
30.82,grocery,FL,morning,0
124.33,electronics,CA,night,0
22.99,travel,TX,morning,0
140.91,fashion,CA,evening,0
58.68,electronics,TX,afternoon,0
331.24,grocery,FL,evening,0
17.75,travel,CA,evening,0
50.06,travel,FL,night,1
14.45,fashion,TX,night,0
310.34,travel,TX,afternoon,0
251.8,travel,CA,afternoon,0
35.8,travel,CA,night,0
129.45,travel,CA,night,0
203.94,grocery,CA,night,0
97.22,fashion,NY,night,0
90.51,electronics,NY,afternoon,0
33.23,travel,FL,afternoon,0
11.73,grocery,TX,evening,0
273.01,fashion,TX,evening,0
276.81,electronics,FL,evening,0
120.32,fashion,FL,afternoon,0
49.69,grocery,FL,morning,0
51.55,grocery,NY,evening,0
155.34,grocery,FL,morning,0
272.89,travel,TX,morning,0
261.74,grocery,FL,morning,0
181.63,electronics,CA,night,0
123.28,travel,TX,afternoon,0
10.55,fashion,TX,afternoon,0
21.16,electronics,TX,evening,0
274.59,travel,NY,evening,0
111.9,grocery,NY,afternoon,0
1.11,fashion,TX,night,0
12.84,grocery,CA,afternoon,0
130.7,electronics,TX,morning,0
0.61,electronics,NY,afternoon,0
21.04,travel,CA,night,0
95.48,electronics,TX,afternoon,0
141.28,fashion,NY,afternoon,0
126.65,travel,CA,afternoon,0
30.47,fashion,FL,morning,0
149.45,grocery,FL,evening,0
32.5,fashion,TX,night,0
47.24,fashion,FL,morning,0
164.68,electronics,NY,afternoon,0
125.85,grocery,CA,afternoon,0
227.03,electronics,TX,evening,0
128.62,grocery,CA,evening,0
100.81,grocery,CA,evening,0
11.8,fashion,CA,morning,0
55.01,electronics,NY,night,0
36.98,fashion,TX,evening,0
33.56,fashion,FL,afternoon,0
433.48,fashion,CA,night,0
59.93,grocery,CA,afternoon,0
267.13,electronics,CA,afternoon,0
119.68,electronics,NY,night,0
190.06,fashion,FL,morning,0
83.81,grocery,CA,night,0
103.22,electronics,NY,evening,0
81.4,travel,NY,night,0
26.07,electronics,CA,evening,0
153.81,fashion,CA,evening,0
39.55,travel,NY,night,0
2.95,grocery,NY,night,0
124.44,travel,CA,evening,0
23.39,travel,NY,afternoon,0
338.53,fashion,NY,night,0
369.31,electronics,CA,morning,0
295.62,grocery,CA,evening,0
55.47,travel,TX,afternoon,0
1.87,fashion,FL,night,1
316.26,electronics,CA,night,0
67.07,travel,CA,afternoon,0
408.1,fashion,CA,morning,0
397.65,fashion,FL,evening,0
230.09,fashion,TX,night,0
41.85,grocery,NY,morning,0
58.36,electronics,FL,evening,0
228.57,travel,CA,morning,0
45.74,electronics,CA,evening,0
22.29,electronics,TX,evening,0
97.65,travel,TX,morning,0
330.16,electronics,TX,evening,0
142.9,grocery,NY,night,0
101.29,travel,FL,night,1
12.27,travel,FL,morning,0
114.54,fashion,TX,morning,0
553.27,electronics,NY,evening,1
18.11,travel,FL,evening,0
87.66,travel,CA,morning,0
251.83,grocery,CA,afternoon,0
162.0,fashion,CA,morning,0
143.29,travel,FL,afternoon,0
145.47,grocery,TX,afternoon,0
53.46,travel,CA,morning,0
41.71,travel,TX,morning,0
198.88,travel,NY,morning,0
199.36,grocery,CA,afternoon,0
242.15,electronics,NY,night,0
293.35,travel,TX,night,0
85.93,travel,FL,morning,0
83.54,electronics,TX,morning,0
192.11,travel,CA,evening,0
125.97,fashion,CA,evening,0
145.27,travel,TX,evening,0
190.63,fashion,CA,morning,0
264.88,electronics,CA,night,0
49.5,grocery,NY,night,0
56.51,electronics,FL,morning,0
11.84,travel,TX,morning,0
103.61,fashion,NY,afternoon,0
4.39,grocery,CA,afternoon,0
75.19,travel,NY,night,0
93.88,grocery,FL,evening,0
40.52,grocery,TX,night,0
107.24,travel,FL,afternoon,0
3.72,electronics,FL,night,1
4.57,travel,NY,afternoon,0
207.52,travel,NY,afternoon,0
53.59,electronics,FL,evening,0
16.31,fashion,CA,evening,0
88.64,travel,TX,afternoon,0
176.36,grocery,CA,morning,0
29.17,travel,CA,evening,0
117.03,travel,TX,afternoon,0
10.71,grocery,NY,morning,0
6.37,electronics,CA,morning,0
90.95,fashion,NY,night,0
93.35,fashion,TX,night,0
121.74,grocery,CA,evening,0
155.4,electronics,NY,morning,0
446.83,travel,NY,evening,0
87.15,travel,CA,afternoon,0
46.8,travel,TX,evening,0
190.28,travel,FL,morning,0
37.9,travel,NY,night,0
69.36,grocery,TX,evening,0
9.8,travel,CA,night,0
3.08,travel,NY,evening,0
394.49,electronics,NY,afternoon,0
216.93,travel,NY,morning,0
142.88,fashion,TX,evening,0
63.1,grocery,NY,afternoon,0
22.84,grocery,NY,afternoon,0
20.41,grocery,CA,afternoon,0
34.56,fashion,NY,night,0
95.61,travel,TX,night,0
150.46,grocery,CA,afternoon,0
129.53,fashion,FL,afternoon,0
39.41,electronics,CA,evening,0
371.77,travel,NY,evening,0
160.68,fashion,FL,morning,0
96.99,travel,CA,evening,0
113.52,electronics,NY,morning,0
65.28,fashion,CA,morning,0
34.16,travel,TX,morning,0
52.8,fashion,NY,night,0
170.18,grocery,TX,evening,0
1.74,travel,NY,afternoon,0
14.81,fashion,TX,morning,0
5.65,grocery,FL,afternoon,0
4.99,electronics,TX,morning,0
232.1,travel,CA,evening,0
145.95,travel,NY,morning,0
77.13,electronics,CA,evening,0
12.35,grocery,TX,afternoon,0
81.18,electronics,NY,evening,0
76.97,travel,TX,afternoon,0
22.82,fashion,FL,evening,0
68.27,grocery,FL,morning,0
61.0,grocery,FL,morning,0
114.81,grocery,TX,evening,0
120.97,electronics,TX,afternoon,0
5.56,electronics,FL,afternoon,0
56.33,fashion,TX,afternoon,0
117.97,fashion,CA,evening,0
83.93,grocery,TX,evening,0
232.96,fashion,CA,evening,0
129.0,electronics,FL,evening,0
21.34,fashion,TX,afternoon,0
8.78,electronics,FL,afternoon,0
123.41,fashion,NY,night,0
3.22,travel,TX,evening,0
105.76,electronics,TX,night,0
338.07,travel,FL,evening,0
102.81,electronics,FL,night,1
58.96,fashion,FL,afternoon,0
123.7,travel,NY,afternoon,0
73.55,fashion,NY,night,0
94.66,electronics,FL,morning,0
340.58,travel,TX,evening,0
58.55,grocery,TX,night,0
389.89,fashion,FL,night,1
282.91,electronics,CA,morning,0
26.15,travel,NY,afternoon,0
8.63,fashion,NY,night,0
12.75,travel,CA,afternoon,0
2.21,fashion,FL,evening,0
11.9,fashion,TX,morning,0
137.86,fashion,TX,afternoon,0
8.86,travel,NY,night,0
46.1,travel,CA,morning,0
223.62,fashion,TX,morning,0
2.83,grocery,NY,morning,0
202.14,grocery,TX,morning,0
39.73,grocery,TX,morning,0
15.09,electronics,TX,evening,0
143.18,grocery,NY,evening,0
118.97,travel,CA,morning,0
251.93,grocery,FL,night,1
159.4,travel,CA,night,0
195.24,electronics,TX,evening,0
39.76,travel,CA,afternoon,0
23.44,travel,TX,morning,0
166.65,travel,NY,night,0
197.31,grocery,NY,evening,0
558.84,fashion,NY,evening,0
63.85,travel,TX,afternoon,0
55.83,grocery,CA,afternoon,0
179.75,grocery,FL,night,1
50.01,grocery,FL,afternoon,0
320.42,fashion,NY,afternoon,0
234.58,fashion,FL,morning,0
67.24,fashion,TX,evening,0
166.77,fashion,CA,evening,0
168.56,electronics,FL,afternoon,0
13.06,fashion,FL,evening,0
279.41,fashion,CA,evening,0
84.44,fashion,FL,night,1
210.16,travel,CA,evening,0
46.29,travel,TX,afternoon,0
271.05,fashion,TX,night,0
59.16,electronics,TX,evening,0
1.31,travel,NY,evening,0
282.95,grocery,TX,night,0
11.49,travel,FL,night,1
46.16,grocery,NY,evening,0
359.64,travel,NY,morning,0
360.95,fashion,NY,morning,0
102.24,travel,TX,evening,0
119.91,fashion,NY,evening,0
71.4,fashion,TX,night,0
41.64,travel,TX,night,0
47.82,grocery,NY,evening,0
133.96,grocery,NY,evening,0
167.5,travel,FL,evening,0
188.18,fashion,NY,evening,0
187.06,grocery,TX,morning,0
11.48,electronics,FL,night,1
81.85,fashion,FL,afternoon,0
7.11,travel,TX,evening,0
95.7,fashion,NY,evening,0
69.91,electronics,NY,evening,0
262.39,electronics,CA,afternoon,0
51.86,grocery,NY,night,0
14.94,electronics,CA,night,0
18.52,fashion,FL,evening,0
172.01,grocery,FL,evening,0
115.55,electronics,FL,night,1
12.79,grocery,CA,afternoon,0
10.54,grocery,TX,evening,0
144.87,travel,TX,afternoon,0
9.07,grocery,FL,afternoon,0
207.02,grocery,CA,night,0
147.0,electronics,CA,evening,0
10.18,fashion,FL,morning,0
10.64,fashion,NY,night,0
517.86,electronics,FL,night,1
56.26,fashion,CA,morning,0
55.57,grocery,NY,evening,0
201.07,travel,TX,afternoon,0
353.06,grocery,NY,afternoon,0
512.25,grocery,TX,afternoon,0
167.99,travel,CA,evening,0
56.64,electronics,FL,night,1
10.46,grocery,FL,night,1
180.15,grocery,FL,night,1
98.08,electronics,FL,night,1
66.24,grocery,FL,night,1
284.19,grocery,CA,morning,0
14.15,fashion,CA,afternoon,0
81.42,electronics,FL,afternoon,0
1.37,grocery,NY,evening,0
75.88,grocery,FL,morning,0
6.95,travel,TX,night,0
15.18,travel,TX,night,0
15.0,travel,TX,night,0
125.71,grocery,TX,morning,0
164.47,grocery,FL,evening,0
105.07,travel,TX,morning,0
392.97,fashion,NY,evening,0
56.38,fashion,FL,afternoon,0
40.38,fashion,TX,evening,0
243.54,fashion,FL,afternoon,0
30.37,electronics,FL,evening,0
396.34,travel,FL,afternoon,0
1.47,grocery,CA,afternoon,0
420.3,travel,TX,night,0
5.29,fashion,CA,evening,0
266.13,grocery,NY,night,0
90.02,electronics,NY,afternoon,0
594.82,travel,CA,night,0
9.2,grocery,TX,morning,0
96.85,grocery,FL,night,1
418.03,fashion,NY,evening,0
88.85,fashion,NY,night,0
119.12,travel,NY,morning,0
142.79,electronics,TX,night,0
72.74,grocery,CA,afternoon,0
118.52,fashion,CA,afternoon,0
105.34,travel,TX,afternoon,0
277.71,fashion,NY,evening,0
5.58,travel,TX,night,0
39.58,fashion,TX,afternoon,0
360.48,electronics,CA,night,0
265.16,grocery,TX,morning,0
72.98,fashion,TX,morning,0
116.15,grocery,NY,evening,0
38.98,travel,FL,night,1
25.01,electronics,NY,morning,0
74.77,grocery,CA,evening,0
52.31,fashion,FL,evening,0
105.15,grocery,NY,afternoon,0
9.71,grocery,TX,morning,0
439.8,travel,TX,night,0
514.06,electronics,FL,morning,1
143.74,electronics,FL,morning,0
92.17,grocery,TX,night,0
44.45,grocery,CA,night,0
201.71,travel,NY,afternoon,0
138.52,grocery,TX,evening,0
21.3,travel,NY,night,0
290.2,electronics,NY,night,0
207.48,electronics,NY,morning,0
359.01,travel,NY,night,0
155.23,grocery,CA,night,0
114.05,electronics,CA,morning,0
65.0,fashion,CA,morning,0
323.88,travel,TX,morning,0
241.25,electronics,TX,afternoon,0
5.55,electronics,TX,evening,0
3.21,electronics,CA,night,0
56.68,fashion,NY,morning,0
199.64,fashion,CA,morning,0
523.71,fashion,TX,evening,0
19.56,grocery,FL,afternoon,0
108.21,travel,TX,night,0
57.54,grocery,NY,afternoon,0
420.45,fashion,CA,afternoon,0
221.51,travel,FL,afternoon,0
218.66,grocery,FL,morning,0
75.89,grocery,NY,evening,0
64.3,grocery,CA,evening,0
38.33,fashion,FL,evening,0
6.96,electronics,TX,afternoon,0
240.05,travel,NY,night,0
201.13,fashion,FL,afternoon,0
980.69,travel,NY,evening,0
683.38,fashion,CA,morning,0
97.28,grocery,CA,afternoon,0
175.83,grocery,CA,morning,0
347.54,electronics,TX,evening,0
227.37,electronics,FL,afternoon,0
34.1,travel,CA,morning,0
71.86,electronics,TX,afternoon,0
16.6,electronics,CA,evening,0
369.63,travel,CA,night,0
111.82,fashion,FL,evening,0
31.15,electronics,TX,night,0
133.66,fashion,CA,night,0
115.52,grocery,TX,evening,0
53.21,electronics,TX,morning,0
14.46,grocery,CA,afternoon,0
133.61,grocery,CA,afternoon,0
88.15,fashion,NY,afternoon,0
177.58,travel,FL,night,1
88.12,electronics,CA,night,0
229.41,fashion,NY,evening,0
96.33,travel,FL,morning,0
98.77,grocery,CA,evening,0
251.13,electronics,TX,evening,0
62.0,grocery,FL,morning,0
17.27,grocery,TX,night,0
3.5,electronics,NY,evening,0
168.85,travel,CA,evening,0
116.21,travel,NY,night,0
146.12,electronics,CA,afternoon,0
28.74,electronics,CA,morning,0
17.59,fashion,TX,morning,0
1.76,fashion,NY,afternoon,0
51.8,grocery,TX,morning,0
106.97,electronics,TX,afternoon,0
59.76,travel,TX,evening,0
69.04,grocery,NY,morning,0
281.41,grocery,CA,morning,0
51.37,grocery,CA,evening,0
86.58,grocery,NY,night,0
183.7,travel,CA,night,0
60.61,grocery,NY,evening,0
116.77,electronics,NY,morning,0
237.98,fashion,CA,morning,0
358.34,travel,FL,morning,0
19.09,electronics,TX,afternoon,0
313.4,electronics,NY,night,0
81.3,electronics,NY,morning,0
35.85,fashion,FL,night,1
73.75,fashion,NY,night,0
469.64,fashion,NY,morning,0
81.42,electronics,CA,evening,0
47.83,fashion,CA,evening,0
120.42,grocery,FL,night,1
32.96,fashion,NY,afternoon,0
9.47,travel,TX,night,0
16.56,electronics,CA,night,0
16.44,electronics,TX,evening,0
19.77,grocery,TX,morning,0
17.94,fashion,FL,morning,0
122.89,fashion,FL,afternoon,0
24.09,travel,NY,evening,0
50.9,grocery,FL,evening,0
272.52,travel,CA,night,0
77.09,travel,NY,evening,0
132.15,electronics,NY,night,0
22.7,electronics,TX,afternoon,0
25.63,fashion,TX,evening,0
5.01,fashion,TX,evening,0
22.21,travel,NY,night,0
39.19,fashion,FL,evening,0
23.38,travel,FL,morning,0
11.15,fashion,FL,afternoon,0
15.43,fashion,NY,morning,0
74.12,electronics,NY,night,0
27.73,electronics,NY,night,0
54.36,electronics,NY,night,0
84.0,electronics,NY,afternoon,0
140.69,grocery,FL,evening,0
4.81,electronics,NY,morning,0
192.78,grocery,FL,evening,0
118.63,electronics,NY,night,0
10.24,fashion,FL,evening,0
248.18,travel,CA,afternoon,0
304.4,fashion,CA,night,0
7.56,fashion,FL,evening,0
38.9,grocery,CA,morning,0
196.91,electronics,CA,night,0
165.52,travel,FL,night,1
24.48,travel,NY,afternoon,0
28.19,electronics,NY,afternoon,0
55.53,grocery,FL,morning,0
79.52,grocery,TX,evening,0
115.56,grocery,TX,evening,0
55.24,travel,CA,night,0
74.51,grocery,TX,night,0
165.15,grocery,CA,evening,0
4.48,travel,NY,evening,0
34.91,travel,FL,evening,0
149.94,fashion,NY,night,0
270.69,travel,FL,afternoon,0
86.01,electronics,TX,afternoon,0
91.14,travel,NY,morning,0
13.6,travel,NY,evening,0
71.18,grocery,CA,evening,0
91.27,fashion,FL,evening,0
33.32,grocery,TX,morning,0
37.64,fashion,NY,evening,0
56.84,grocery,FL,afternoon,0
2.43,electronics,TX,evening,0
46.65,grocery,NY,morning,0
28.51,grocery,FL,night,1
47.61,electronics,CA,night,0
15.31,electronics,NY,afternoon,0
265.45,travel,FL,afternoon,0
108.05,grocery,TX,afternoon,0
136.4,electronics,TX,night,0
186.81,electronics,CA,evening,0
82.8,travel,NY,morning,0
10.91,fashion,CA,morning,0
92.43,electronics,FL,evening,0
106.07,electronics,TX,night,0
164.19,grocery,CA,night,0
67.8,travel,NY,morning,0
16.38,grocery,FL,afternoon,0
40.05,fashion,NY,afternoon,0
54.13,travel,CA,morning,0
124.59,grocery,TX,morning,0
101.49,electronics,TX,evening,0
52.82,electronics,CA,evening,0
516.74,travel,NY,evening,0
111.7,electronics,NY,evening,0
32.5,grocery,NY,evening,0
12.88,travel,NY,evening,0
19.91,electronics,TX,afternoon,0
33.88,electronics,NY,morning,0
21.02,fashion,CA,night,0
24.78,fashion,CA,evening,0
40.27,travel,CA,afternoon,0
22.85,fashion,CA,morning,0
272.49,grocery,NY,morning,0
10.04,electronics,TX,morning,0
89.21,electronics,FL,evening,0
63.4,electronics,NY,evening,0
484.64,travel,FL,night,1
14.26,travel,TX,evening,0
60.87,fashion,NY,morning,0
418.69,electronics,FL,morning,0
240.75,electronics,TX,afternoon,0
203.84,electronics,FL,afternoon,0
35.79,electronics,CA,night,0
22.49,electronics,CA,afternoon,0
132.55,grocery,TX,night,0
318.05,electronics,TX,afternoon,0
97.64,grocery,FL,morning,0
101.73,electronics,TX,evening,0
39.42,travel,CA,evening,0
176.1,travel,CA,night,0
24.85,grocery,NY,evening,0
46.93,electronics,FL,evening,0
66.5,travel,TX,afternoon,0
85.02,travel,TX,morning,0
33.31,electronics,TX,evening,0
14.64,electronics,FL,morning,0
113.18,travel,CA,afternoon,0
40.87,electronics,TX,afternoon,0
104.45,fashion,TX,evening,0
20.12,electronics,CA,evening,0
78.73,travel,TX,afternoon,0
91.27,travel,NY,afternoon,0
6.39,grocery,CA,night,0
49.25,fashion,CA,night,0
17.32,travel,CA,morning,0
7.86,fashion,NY,afternoon,0
552.14,electronics,CA,morning,1
46.7,travel,FL,afternoon,0
199.21,grocery,FL,morning,0
35.27,travel,FL,night,1
137.3,grocery,CA,afternoon,0
171.37,fashion,CA,afternoon,0
108.65,grocery,CA,morning,0
76.54,electronics,NY,morning,0
63.69,electronics,FL,evening,0
51.49,electronics,TX,evening,0
318.31,travel,TX,night,0
213.07,electronics,CA,afternoon,0
402.38,electronics,NY,afternoon,0
15.93,travel,CA,morning,0
157.51,fashion,TX,night,0
334.34,electronics,FL,afternoon,0
23.99,electronics,TX,night,0
8.26,travel,FL,evening,0
162.17,fashion,FL,morning,0
102.53,fashion,NY,afternoon,0
221.29,fashion,TX,morning,0
18.07,travel,CA,evening,0
190.33,grocery,NY,night,0
27.02,grocery,FL,night,1
21.45,electronics,TX,evening,0
21.53,electronics,CA,evening,0
202.21,electronics,NY,afternoon,0
131.31,grocery,CA,afternoon,0
88.85,travel,TX,afternoon,0
53.34,electronics,CA,afternoon,0
251.66,travel,NY,afternoon,0
59.8,electronics,CA,night,0
203.53,travel,TX,afternoon,0
69.39,travel,NY,evening,0
56.77,grocery,FL,evening,0
74.54,travel,NY,afternoon,0
43.04,fashion,TX,evening,0
165.21,grocery,CA,morning,0
83.83,electronics,FL,night,1
31.71,grocery,FL,night,1
275.8,fashion,CA,afternoon,0
58.12,fashion,TX,morning,0
94.11,travel,NY,afternoon,0
284.34,fashion,TX,afternoon,0
117.46,fashion,FL,evening,0
14.92,fashion,NY,night,0
337.27,fashion,NY,morning,0
118.57,electronics,CA,evening,0
48.94,electronics,TX,night,0
18.0,grocery,NY,night,0
189.6,travel,CA,afternoon,0
116.13,electronics,TX,morning,0
91.49,fashion,FL,afternoon,0
269.2,travel,FL,evening,0
186.48,electronics,TX,afternoon,0
19.74,grocery,NY,afternoon,0
44.83,fashion,NY,night,0
34.28,travel,FL,night,1
163.48,electronics,FL,evening,0
4.09,travel,NY,night,0
101.25,electronics,TX,night,0
172.49,grocery,FL,night,1
251.24,fashion,NY,afternoon,0
50.24,grocery,TX,morning,0
206.62,fashion,CA,evening,0
14.07,fashion,TX,afternoon,0
224.85,travel,NY,evening,0
16.37,electronics,TX,afternoon,0
60.76,grocery,NY,evening,0
191.52,grocery,FL,night,1
19.49,grocery,CA,evening,0
31.25,travel,FL,morning,0
153.73,travel,FL,evening,0
152.77,travel,NY,morning,0
122.98,fashion,NY,evening,0
142.08,grocery,NY,night,0
93.9,fashion,NY,evening,0
34.81,grocery,FL,afternoon,0
50.9,grocery,NY,night,0
24.05,electronics,NY,night,0
286.91,grocery,FL,afternoon,0
105.07,travel,CA,night,0
61.47,travel,CA,night,0
74.39,travel,TX,afternoon,0
353.14,electronics,FL,night,1
19.98,electronics,NY,night,0
105.89,fashion,TX,night,0
84.6,grocery,CA,night,0
113.44,grocery,CA,evening,0
2.19,travel,FL,night,1
246.8,travel,NY,night,0
322.8,travel,NY,night,0
99.93,travel,TX,evening,0
143.14,travel,CA,morning,0
306.9,travel,TX,night,0
147.41,grocery,TX,morning,0
19.86,electronics,TX,morning,0
103.04,travel,NY,afternoon,0
111.99,grocery,CA,afternoon,0
66.22,travel,TX,morning,0
160.02,fashion,CA,evening,0
326.84,fashion,CA,night,0
311.75,grocery,TX,night,0
71.92,electronics,TX,night,0
14.42,fashion,FL,afternoon,0
502.7,fashion,NY,afternoon,0
219.09,electronics,CA,night,0
15.98,fashion,TX,morning,0
304.36,travel,TX,afternoon,0
244.73,electronics,CA,night,0
87.79,fashion,TX,morning,0
107.37,electronics,FL,night,1
61.1,travel,CA,afternoon,0
6.76,fashion,TX,evening,0
48.99,grocery,CA,evening,0
194.86,fashion,TX,afternoon,0
0.56,fashion,TX,morning,0
48.69,travel,NY,night,0
60.93,grocery,CA,afternoon,0
92.51,grocery,NY,morning,0
302.87,grocery,TX,night,0
51.02,travel,CA,night,0
51.13,travel,CA,afternoon,0
160.5,travel,FL,night,1
72.23,travel,FL,evening,0
30.53,travel,TX,evening,0
72.27,grocery,TX,night,0
18.22,electronics,TX,afternoon,0
23.29,travel,TX,night,0
82.79,electronics,FL,afternoon,0
65.15,fashion,CA,afternoon,0
295.6,fashion,NY,evening,0
54.0,travel,CA,evening,0
104.27,fashion,CA,morning,0
120.05,electronics,FL,afternoon,0
1.58,fashion,CA,night,0
130.71,fashion,CA,afternoon,0
23.53,electronics,TX,evening,0
389.52,fashion,NY,afternoon,0
19.31,travel,CA,morning,0
64.26,electronics,CA,night,0
10.71,electronics,NY,afternoon,0
692.17,grocery,TX,night,0
83.71,grocery,FL,night,1
108.58,electronics,FL,evening,0
8.33,electronics,CA,afternoon,0
166.34,grocery,TX,night,0
28.27,travel,FL,evening,0
274.0,fashion,FL,morning,0
27.55,fashion,FL,morning,0
25.39,fashion,FL,afternoon,0
4.47,electronics,FL,night,1
76.65,travel,CA,afternoon,0
99.85,grocery,FL,night,1
8.16,travel,CA,evening,0
179.28,travel,NY,morning,0
72.46,fashion,NY,morning,0
89.18,grocery,TX,morning,0
69.74,travel,CA,morning,0
61.45,grocery,TX,afternoon,0
98.42,electronics,NY,night,0
20.24,fashion,NY,afternoon,0
24.1,grocery,NY,evening,0
237.47,electronics,NY,morning,0
350.51,electronics,FL,night,1
56.08,electronics,NY,afternoon,0
37.89,travel,FL,night,1
123.94,travel,FL,afternoon,0
